Date,Close,Event,Region
2004-11-02,1.272006,2004 Presidential Election,US
2008-09-29,1.439325,Housing Market Crash,US
2008-11-04,1.298398,2008 Presidential Election,US
2008-12-11,1.332996,Madoff Scandal,US
2012-05-18,1.269841,Facebook IPO,US
2012-11-06,1.280246,2012 Presidential Election,US
2016-11-08,1.105217,2016 Presidential Election,US
2020-11-03,1.16428,2020 Presidential Election,US
2021-01-06,1.230027,US Capitol Attacks,US
2021-01-20,1.213887,Biden Inauguration,US
2022-06-30,1.044659,Inflation Rise,US
