Event,Date,Region,,,,
Iraq War,2003-03-20,US,,,,
2004 Presidential Election,2004-11-02,US,,,,
Indian Ocean Earthquake & Tsunami,2004-12-26,WORLD,,,,
Pope John Paul II Death,2005-04-02,WORLD,,,,
iPhone Introduction,2007-01-09,WORLD,,,,
2008 Great Recession,2008-09-15,WORLD,,,,
Housing Market Crash,2008-09-29,US,,,,
2008 Presidential Election,2008-11-04,US,,,,
Madoff Scandal,2008-12-11,US,,,,
Bitcoin Launch,2009-01-03,WORLD,,,,
Icelandic Ash Cloud,2010-03-20,WORLD,,,,
Arab Spring,2010-12-17,WORLD,,,,
Tunisia Uprising,2011-01-14,WORLD,,,,
Yemen Uprising,2011-02-03,WORLD,,,,
Egypt Uprising,2011-02-09,WORLD,,,,
Libya Uprising,2011-02-15,WORLD,,,,
2011 Japanese Earthquake & Tsunami,2011-03-11,WORLD,,,,
Syria Uprising,2011-04-29,WORLD,,,,
Facebook IPO,2012-05-18,US,,,,
Coinbase Launch,2012-06-01,WORLD,,,,
2012 Presidential Election,2012-11-06,US,,,,
Malaysian Airlines MH370 Disappears,2014-03-08,WORLD,,,,
2016 Presidential Election,2016-11-08,US,,,,
Brexit Talks Start,2017-03-29,WORLD,,,,
First Chinese COVID-19 Case Reported,2019-12-27,WORLD,,,,
WHO COVID-19 Declaration as Pandemic,2020-01-12,WORLD,,,,
Brexit Implemented,2020-01-31,WORLD,,,,
US COVID-19 Shutdown,2020-03-15,US,,,,
2020 Presidential Election,2020-11-03,US,,,,
US Capitol Attacks,2021-01-06,US,,,,
Biden Inauguration,2021-01-20,US,,,,
Russian invasion of Ukraine,2022-02-24,WORLD,,,,
Inflation Rise,2022-06-30,US,,,,
